Longitud de onda;M15;M210;M38
505;2.074;1.379;1.716
505.5;2.012;1.373;1.606
506;1.913;1.351;1.434
506.5;1.724;1.223;1.264
507;1.488;1.036;1.04
507.5;1.333;0.915;0.808
508;1.152;0.727;0.532
508.5;1.027;0.623;0.357
509;1.056;0.639;0.4
509.5;1.262;0.821;0.65
510;1.437;0.942;0.795
510.5;1.595;1.023;0.898
511;1.843;1.178;1.129
511.5;2.01;1.318;1.382
512;2.066;1.387;1.572
512.5;2.11;1.469;1.723
513;1.958;1.412;1.665
513.5;1.741;1.327;1.54
514;1.732;1.45;1.61
514.5;1.744;1.48;1.673
515;1.74;1.465;1.528
515.5;1.838;1.424;1.436
516;1.919;1.39;1.392
516.5;1.992;1.406;1.375
517;2.061;1.379;1.338
517.5;2.157;1.481;1.43
518;2.133;1.504;1.414
518.5;2.001;1.483;1.307
519;2.008;1.605;1.416
519.5;2.006;1.635;1.476
520;1.974;1.667;1.507
520.5;1.846;1.605;1.519
521;1.648;1.327;1.413
521.5;1.559;1.142;1.305
522;1.484;0.925;1.139
522.5;1.407;0.713;0.883
523;1.311;0.532;0.644
523.5;1.147;0.313;0.416
524;1.149;0.3;0.353
524.5;1.241;0.384;0.425
525;1.255;0.51;0.528
525.5;1.3;0.642;0.651
526;1.421;0.719;0.753
526.5;1.568;0.864;0.9
527;1.563;0.856;0.901
527.5;1.509;0.756;0.76
528;1.302;0.59;0.604
528.5;1.059;0.428;0.479
529;0.896;0.43;0.412
529.5;0.861;0.471;0.48
530;0.823;0.506;0.559
530.5;0.892;0.661;0.68
531;1.131;0.861;0.87
531.5;1.401;1.069;1.036
532;1.509;1.15;1.113
532.5;1.629;1.204;1.213
533;1.679;1.191;1.264
533.5;1.653;1.131;1.277
534;1.59;1.077;1.224
534.5;1.553;0.96;1.153
535;1.572;0.886;1.111
535.5;1.622;0.889;1.061
536;1.72;0.946;1.037
536.5;1.826;1.147;1.085
537;1.816;1.302;1.182
537.5;1.734;1.413;1.289
538;1.561;1.384;1.23
538.5;1.323;1.285;1.096
539;1.069;1.058;0.931
539.5;0.9;0.823;0.718
540;0.734;0.59;0.535
540.5;0.658;0.429;0.413
541;0.642;0.349;0.379
541.5;0.717;0.416;0.477
542;0.799;0.49;0.573
542.5;0.834;0.5;0.584
543;0.877;0.53;0.488
543.5;1.015;0.652;0.535
544;1.217;0.784;0.61
544.5;1.406;0.974;0.712
545;1.634;1.219;0.922
545.5;1.758;1.348;1.016
546;1.772;1.322;0.997
546.5;1.593;1.116;0.874
547;1.322;0.815;0.7
547.5;1.013;0.537;0.473
548;0.78;0.334;0.28
548.5;0.604;0.165;0.174
549;0.607;0.22;0.244
549.5;0.641;0.351;0.351
550;0.823;0.562;0.57
550.5;1.008;0.686;0.672
551;1.189;0.748;0.706
551.5;1.306;0.735;0.704
552;1.274;0.601;0.689
552.5;1.272;0.635;0.712
553;1.234;0.584;0.637
553.5;1.058;0.433;0.437
554;0.857;0.334;0.38
554.5;0.555;0.171;0.198
555;0.35;0.042;0.099
555.5;0.283;-0.02;-0.014
556;0.301;0.039;-0.028
556.5;0.301;0.069;-0.083
557;0.289;0.079;-0.102
557.5;0.436;0.259;0.092
558;0.565;0.427;0.249
558.5;0.558;0.454;0.292
559;0.501;0.425;0.356
559.5;0.424;0.303;0.343
560;0.448;0.245;0.328
560.5;0.392;0.075;0.145
561;0.369;-0.005;0.031
561.5;0.314;-0.094;-0.163
562;0.38;-0.048;-0.222
562.5;0.564;0.137;-0.117
563;0.771;0.387;0.052
563.5;1.041;0.706;0.318
564;1.298;0.987;0.557
564.5;1.43;1.107;0.74
565;1.496;1.135;0.776
565.5;1.387;0.978;0.666
566;1.325;0.83;0.645
566.5;1.271;0.792;0.633
567;1.194;0.724;0.689
567.5;1.036;0.581;0.578
568;0.99;0.571;0.496
568.5;1.059;0.678;0.527
569;1.144;0.763;0.502
569.5;1.11;0.784;0.458
570;1.047;0.802;0.381
570.5;0.973;0.787;0.396
571;0.89;0.699;0.345
571.5;0.897;0.687;0.376
572;0.814;0.557;0.35
572.5;0.609;0.363;0.147
573;0.429;0.148;-0.111
573.5;0.328;0.024;-0.289
574;0.298;0.042;-0.368
574.5;0.371;0.202;-0.331
575;0.498;0.436;-0.109
575.5;0.638;0.652;0.179
576;0.739;0.756;0.396
576.5;0.922;0.851;0.679
577;1.064;0.875;0.832
577.5;1.069;0.827;0.815
578;0.888;0.532;0.591
578.5;0.68;0.286;0.369
579;0.587;0.197;0.192
579.5;0.641;0.301;0.155
580;0.722;0.417;0.227
580.5;0.84;0.62;0.334
581;0.905;0.737;0.444
581.5;1.065;0.841;0.567
582;1.282;0.997;0.731
582.5;1.287;1.034;0.741
583;1.167;0.886;0.633
583.5;0.912;0.628;0.494
584;0.722;0.466;0.343
584.5;0.566;0.323;0.236
585;0.491;0.294;0.142
585.5;0.556;0.343;0.106
586;0.672;0.388;0.132
586.5;0.874;0.514;0.221
587;1.071;0.679;0.396
587.5;1.072;0.771;0.55
588;1.019;0.667;0.598
588.5;0.686;0.366;0.506
589;0.382;0.181;0.386
589.5;0.082;-0.077;0.162
590;-0.104;-0.2;-0.081
590.5;-0.102;-0.213;-0.145
591;0.033;-0.125;-0.13
591.5;0.186;-0.006;-0.066
592;0.315;0.077;-0.06
592.5;0.454;0.204;0.055
593;0.583;0.181;0.062
593.5;0.569;0.071;0.037
594;0.629;0.086;0.116
594.5;0.646;0.051;0.086
595;0.572;-0.053;-0.008
595.5;0.465;-0.118;-0.147
596;0.303;-0.238;-0.312
596.5;0.109;-0.427;-0.443
597;-0.007;-0.44;-0.466
597.5;-0.007;-0.399;-0.369
598;0.019;-0.303;-0.257
598.5;0.08;-0.181;-0.066
599;0.289;0.023;0.279
599.5;0.499;0.17;0.495
600;0.684;0.287;0.676
600.5;0.751;0.311;0.582
601;0.719;0.239;0.386
601.5;0.604;0.07;0.231
602;0.494;0.029;0.119
602.5;0.432;-0.07;-0.058
603;0.34;-0.123;-0.233
603.5;0.315;-0.128;-0.355
604;0.425;-0.004;-0.264
604.5;0.587;0.112;-0.211
605;0.661;0.131;-0.233
605.5;0.548;0.059;-0.437
606;0.454;-0.001;-0.527
606.5;0.396;-0.08;-0.461
607;0.498;0.071;-0.228
607.5;0.644;0.254;-0.011
608;0.784;0.459;0.257
608.5;0.924;0.625;0.517
609;1.047;0.828;0.737
609.5;1.088;0.828;0.853
610;0.955;0.725;0.67
610.5;0.8;0.612;0.414
611;0.755;0.601;0.386
611.5;0.74;0.509;0.359
612;0.699;0.477;0.373
612.5;0.681;0.505;0.452
613;0.736;0.564;0.589
613.5;0.713;0.417;0.545
614;0.623;0.348;0.391
614.5;0.573;0.216;0.227
615;0.471;0.156;-0.03
615.5;0.428;0.153;-0.151
616;0.36;0.143;-0.156
616.5;0.335;0.099;-0.168
617;0.235;0.106;-0.092
617.5;0.378;0.238;0.209
618;0.652;0.485;0.581
618.5;0.806;0.565;0.795
619;0.85;0.651;0.828
619.5;0.852;0.634;0.759
620;0.76;0.543;0.529
620.5;0.701;0.46;0.323
621;0.636;0.418;0.051
621.5;0.542;0.346;-0.157
622;0.371;0.27;-0.297
622.5;0.415;0.271;-0.344
623;0.416;0.254;-0.264
623.5;0.391;0.242;-0.132
624;0.329;0.153;-0.047
624.5;0.458;0.264;0.14
625;0.746;0.46;0.306
625.5;1.046;0.692;0.542
626;1.303;0.993;0.739
626.5;1.448;1.162;0.995
627;1.44;1.156;1.102
627.5;1.274;1.006;0.953
628;1.005;0.774;0.82
628.5;0.778;0.603;0.68
629;0.586;0.428;0.52
629.5;0.425;0.279;0.327
630;0.395;0.187;0.163
630.5;0.304;0.028;0.001
631;0.278;0.019;-0.125
631.5;0.502;0.216;0.176
632;0.778;0.428;0.395
632.5;0.876;0.606;0.504
633;0.929;0.744;0.634
633.5;0.997;0.877;0.708
634;1.036;0.925;0.726
634.5;0.887;0.836;0.637
635;0.677;0.613;0.423
635.5;0.249;0.183;0.068
636;-0.232;-0.33;-0.338
636.5;-0.505;-0.576;-0.462
637;-0.52;-0.571;-0.521
637.5;-0.574;-0.568;-0.498
638;-0.547;-0.494;-0.421
638.5;-0.384;-0.415;-0.275
639;-0.086;-0.187;-0.032
639.5;0.197;0.012;0.159
640;0.448;0.175;0.301
640.5;0.515;0.217;0.299
641;0.636;0.202;0.266
641.5;0.635;0.321;0.273
642;0.599;0.502;0.274
642.5;0.469;0.561;0.254
643;0.341;0.639;0.207
643.5;0.287;0.639;0.227
644;0.332;0.597;0.243
644.5;0.315;0.434;0.123
645;0.375;0.22;0.037
645.5;0.531;0.106;-0.04
646;0.658;-0.036;-0.116
646.5;0.46;-0.274;-0.2
647;0.132;-0.502;-0.384
647.5;-0.096;-0.612;-0.495
648;-0.158;-0.452;-0.431
648.5;-0.084;-0.163;-0.275
649;0.181;0.164;0.067
649.5;0.428;0.497;0.368
650;0.859;0.877;0.696
650.5;1.216;1.229;1.08
651;1.274;1.417;1.28
651.5;1.175;1.308;1.3
652;1.014;1.131;1.067
652.5;0.869;0.948;0.902
653;0.664;0.843;0.687
653.5;0.523;0.604;0.378
654;0.481;0.495;0.229
654.5;0.488;0.456;0.142
655;0.661;0.475;0.16
655.5;0.673;0.416;0.218
656;0.599;0.375;0.208
656.5;0.624;0.377;0.279
657;0.632;0.39;0.269
657.5;0.566;0.349;0.239
658;0.427;0.256;0.081
658.5;0.396;0.162;0.058
659;0.378;0.168;0.118
659.5;0.394;0.159;0.171
660;0.394;0.044;0.151
660.5;0.276;-0.139;0.002
661;0.184;-0.332;-0.048
661.5;0.012;-0.569;-0.197
662;-0.099;-0.647;-0.354
662.5;-0.047;-0.575;-0.35
663;0.046;-0.355;-0.211
663.5;0.156;-0.035;0.095
664;0.284;0.175;0.248
664.5;0.358;0.392;0.348
665;0.286;0.352;0.235
665.5;0.157;0.251;0.096
666;0.053;0.066;-0.011
666.5;-0.028;-0.212;-0.329
667;0.028;-0.329;-0.507
667.5;0.157;-0.267;-0.515
668;0.375;-0.091;-0.379
668.5;0.63;0.162;-0.091
669;0.885;0.402;0.134
669.5;1.002;0.62;0.385
670;0.985;0.652;0.469
670.5;0.947;0.631;0.599
671;0.883;0.508;0.639
671.5;0.791;0.389;0.416
672;0.632;0.175;0.143
672.5;0.3;-0.128;-0.198
673;0.069;-0.323;-0.456
673.5;-0.108;-0.473;-0.585
674;-0.297;-0.633;-0.806
674.5;-0.537;-0.772;-0.967
675;-0.532;-0.722;-1.019
675.5;-0.347;-0.569;-0.889
676;-0.219;-0.419;-0.826
676.5;-0.064;-0.182;-0.85
677;0.151;-0.008;-0.69
677.5;0.377;0.142;-0.544
678;0.666;0.462;-0.264
678.5;0.912;0.642;-0.026
679;1.007;0.627;0.01
679.5;0.863;0.471;-0.007
680;0.782;0.321;-0.042
680.5;0.552;0.165;-0.138
681;0.163;-0.124;-0.282
681.5;-0.03;-0.296;-0.36
682;-0.107;-0.351;-0.306
682.5;0.089;-0.237;-0.203
683;0.353;0.119;0.123
683.5;0.662;0.416;0.373
684;0.828;0.544;0.562
684.5;0.831;0.665;0.653
685;0.687;0.636;0.606
685.5;0.422;0.453;0.423
686;0.031;0.152;0.162
686.5;-0.183;-0.111;-0.168
687;-0.353;-0.338;-0.551
687.5;-0.35;-0.373;-0.785
688;-0.445;-0.527;-0.913
688.5;-0.218;-0.537;-0.862
689;0.06;-0.396;-0.565
689.5;0.475;0.114;-0.143
690;0.809;0.472;0.177
690.5;1.071;0.62;0.468
691;1.022;0.679;0.53
691.5;0.958;0.638;0.383
692;0.765;0.526;0.109
692.5;0.542;0.453;-0.1
693;0.208;0.107;-0.37
693.5;0.018;-0.195;-0.603
694;-0.13;-0.358;-0.819
694.5;-0.336;-0.421;-0.913
695;-0.468;-0.528;-0.954
695.5;-0.659;-0.703;-0.945
696;-0.728;-0.7;-0.744
696.5;-0.651;-0.592;-0.47
697;-0.524;-0.414;-0.207
697.5;-0.191;-0.144;0.107
698;0.044;0.038;0.298
698.5;0.115;0.062;0.202
699;0.094;0.086;0.123
699.5;0.019;0.126;0.192
700;0.111;0.265;0.263
700.5;0.226;0.353;0.352
701;0.546;0.578;0.672
701.5;1.015;0.913;0.989
702;1.385;1.083;1.065
702.5;1.782;1.297;1.233
703;1.884;1.393;1.288
703.5;1.769;1.447;1.225
704;1.486;1.39;1.256
704.5;1.109;1.156;1.151
705;0.657;0.816;0.851
705.5;0.044;0.215;0.397
706;-0.454;-0.335;0.039
706.5;-0.686;-0.752;-0.337
707;-0.783;-0.997;-0.751
707.5;-0.567;-1.001;-0.891
708;-0.267;-0.762;-0.826
708.5;0.166;-0.323;-0.588
709;0.517;0.045;-0.333
709.5;0.539;0.171;-0.242
710;0.327;0.03;-0.347
710.5;-0.198;-0.367;-0.74
711;-0.674;-0.799;-1.001
711.5;-1.084;-1.194;-1.284
712;-1.314;-1.475;-1.5
712.5;-1.16;-1.482;-1.404
713;-0.91;-1.198;-1.123
713.5;-0.408;-0.85;-0.698
714;0.141;-0.357;-0.273
714.5;0.715;0.166;0.188
715;1.147;0.506;0.378
715.5;1.396;0.874;0.481
716;1.559;1.063;0.523
716.5;1.516;1.045;0.529
717;1.285;0.879;0.518
717.5;1.1;0.825;0.618
718;0.799;0.671;0.638
718.5;0.561;0.426;0.606
719;0.543;0.412;0.675
719.5;0.559;0.32;0.62
720;0.479;0.125;0.407
720.5;0.335;-0.043;0.152
721;0.182;-0.302;-0.147
721.5;0.167;-0.392;-0.27
722;0.097;-0.387;-0.298
722.5;0.165;-0.194;-0.243
723;0.301;0.042;-0.249
723.5;0.355;0.213;-0.31
724;0.545;0.445;-0.263
724.5;0.623;0.595;-0.458
725;0.554;0.537;-0.657
725.5;0.392;0.371;-0.92
726;0.198;0.048;-1.058
726.5;0.193;-0.111;-1.005
727;0.054;-0.258;-0.722
727.5;0.028;-0.311;-0.39
728;0.078;-0.274;-0.088
728.5;0.148;-0.226;0.192
729;0.248;-0.094;0.344
729.5;0.374;0.141;0.34
730;0.347;0.19;0.224
730.5;0.269;0.173;-0.046
731;0.188;-0.009;-0.282
731.5;0.002;-0.262;-0.54
732;-0.403;-0.569;-0.705
732.5;-0.757;-0.911;-0.91
733;-0.875;-1.09;-1.053
733.5;-0.851;-1.076;-1.135
734;-0.86;-1.06;-1.239
734.5;-0.961;-1.121;-1.471
735;-1.135;-1.292;-1.654
735.5;-1.193;-1.365;-1.736
736;-1.243;-1.353;-1.647
736.5;-1.276;-1.378;-1.497
737;-1.344;-1.396;-1.373
737.5;-1.402;-1.457;-1.335
738;-1.221;-1.476;-1.349
738.5;-1.068;-1.42;-1.33
739;-0.99;-1.488;-1.449
739.5;-0.993;-1.583;-1.678
740;-0.83;-1.589;-1.592
740.5;-0.585;-1.469;-1.372
741;-0.451;-1.32;-1.197
741.5;-0.324;-1.095;-0.886
742;-0.34;-0.89;-0.683
742.5;-0.247;-0.6;-0.397
743;-0.095;-0.214;-0.182
743.5;0.137;0.184;0.164
744;0.394;0.467;0.286
744.5;0.625;0.797;0.509
745;0.846;0.966;0.864
745.5;0.784;0.838;0.949
746;0.806;0.81;1.007
746.5;0.653;0.72;1.076
747;0.615;0.709;1.093
747.5;0.683;0.597;1.053
748;0.742;0.572;0.947
748.5;0.867;0.652;1.05
749;0.852;0.606;0.99
749.5;0.687;0.571;0.912
750;0.331;0.309;0.655
750.5;-0.187;-0.081;0.19
751;-0.521;-0.352;-0.174
751.5;-0.874;-0.701;-0.732
752;-1.013;-0.986;-1.111
752.5;-1.105;-1.487;-1.557
753;-1.046;-1.712;-1.825
753.5;-0.924;-1.691;-1.782
754;-0.676;-1.567;-1.619
754.5;-0.527;-1.314;-1.368
755;-0.522;-1.153;-1.266
755.5;-0.516;-1.086;-1.268
756;-0.599;-1.103;-1.396
756.5;-0.753;-1.221;-1.628
757;-0.922;-1.384;-1.824
757.5;-1.022;-1.409;-1.918
758;-0.97;-1.263;-1.75
758.5;-0.836;-1.054;-1.496
759;-0.56;-0.766;-1.008
759.5;-0.41;-0.622;-0.673
760;-0.318;-0.551;-0.505
760.5;-0.216;-0.489;-0.396
761;-0.238;-0.593;-0.517
761.5;-0.371;-0.857;-0.789
762;-0.377;-1.002;-0.983
762.5;-0.353;-0.91;-0.961
763;-0.227;-0.726;-0.772
763.5;-0.19;-0.608;-0.639
764;-0.036;-0.408;-0.257
764.5;0.116;-0.227;-0.104
765;0.333;0.105;0.159
765.5;0.439;0.419;0.368
766;0.349;0.432;0.266
766.5;0.16;0.227;-0.008
767;0.108;0.09;-0.303
767.5;0.033;-0.073;-0.579
768;-0.213;-0.343;-0.841
768.5;-0.536;-0.722;-0.981
769;-0.634;-0.812;-0.932
769.5;-0.601;-0.646;-0.832
770;-0.21;-0.085;-0.264
770.5;0.084;0.402;0.238
771;0.216;0.605;0.406
771.5;0.275;0.804;0.436
772;0.328;0.819;0.251
772.5;0.125;0.596;0.028
773;-0.211;0.104;-0.397
773.5;-0.552;-0.472;-0.813
774;-0.709;-0.801;-1.142
774.5;-0.665;-0.933;-1.311
775;-0.427;-0.711;-1.087
775.5;-0.153;-0.528;-0.957
776;0.153;-0.393;-0.77
776.5;0.368;-0.192;-0.508
777;0.364;-0.206;-0.49
777.5;0.261;-0.252;-0.529
778;0.171;-0.323;-0.778
778.5;0.051;-0.495;-0.925
779;-0.099;-0.693;-1.165
779.5;-0.274;-0.815;-1.419
780;-0.394;-0.657;-1.487
780.5;-0.294;-0.572;-1.543
781;0.267;-0.34;-1.072
781.5;0.644;-0.144;-0.696
782;0.802;0.015;-0.713
782.5;1.115;0.345;-0.625
783;1.272;0.712;-0.499
783.5;1.539;0.916;-0.099
784;1.402;0.91;0.021
784.5;0.957;0.646;-0.189
785;0.617;0.498;-0.31
785.5;0.365;0.197;-0.437
786;0.189;-0.112;-0.462
786.5;-0.308;-0.596;-0.938
787;-0.761;-0.973;-1.624
787.5;-1.175;-1.346;-2.222
788;-1.491;-1.768;-2.631
788.5;-1.361;-1.981;-2.682
789;-1.478;-2.306;-2.694
789.5;-1.455;-2.478;-2.723
790;-1.289;-2.292;-2.383
790.5;-0.982;-1.997;-1.978
791;-0.683;-1.667;-1.614
791.5;-0.595;-1.249;-1.284
792;-0.688;-0.9;-1.086
792.5;-0.877;-0.813;-1.089
793;-1.111;-0.887;-1.341
793.5;-1.088;-0.905;-1.46
794;-0.999;-1.035;-1.543
794.5;-0.798;-0.912;-1.568
795;-0.814;-1.02;-1.638
795.5;-0.65;-1.178;-1.912
796;-0.51;-1.367;-2.106
796.5;-0.807;-1.633;-2.343
797;-1.136;-1.914;-2.644
797.5;-1.258;-2.107;-2.823
798;-1.324;-2.214;-2.916
798.5;-1.291;-2.251;-2.886
799;-0.953;-2.107;-2.647
799.5;-0.62;-1.722;-2.265
800;-0.381;-1.459;-1.856
800.5;0.106;-1.019;-1.461
801;0.109;-0.801;-1.325
801.5;0.039;-0.648;-1.224
802;-0.071;-0.452;-1.382
802.5;-0.132;-0.268;-1.356
803;-0.166;-0.111;-1.374
803.5;-0.426;-0.116;-1.606
804;-0.703;-0.491;-1.939
804.5;-0.943;-0.905;-2.385
805;-1.2;-1.363;-2.531
805.5;-1.219;-1.645;-2.577
806;-1.493;-1.992;-2.702
806.5;-1.524;-2.35;-2.892
807;-1.614;-2.431;-3.079
807.5;-1.411;-2.297;-2.919
808;-1.378;-2.057;-2.76
808.5;-1.389;-1.796;-2.571
809;-1.609;-1.915;-2.487
809.5;-1.789;-1.798;-2.284
810;-1.89;-1.683;-1.91
810.5;-1.669;-1.272;-1.397
811;-1.593;-1.163;-1.173
811.5;-1.325;-1.05;-1.148
812;-0.86;-0.728;-0.794
812.5;-0.333;-0.7;-0.639
813;0.071;-0.492;-0.334
813.5;0.485;-0.199;-0.19
814;0.864;-0.113;0.01
814.5;0.986;0.197;0.206
815;0.983;0.226;0.162
815.5;1.145;0.324;0.263
816;1.182;0.302;0.146
816.5;1.191;0.399;0.114
817;0.944;0.326;0.019
817.5;0.642;-0.058;-0.169
818;0.511;-0.126;-0.108
818.5;0.259;-0.281;-0.337
819;0.16;-0.476;-0.353
819.5;-0.101;-0.559;-0.308
820;-0.342;-0.952;-0.714
820.5;-0.586;-1.544;-1.242
821;-0.792;-1.96;-1.68
821.5;-0.998;-2.152;-1.826
822;-1.077;-2.126;-1.7
822.5;-0.843;-1.798;-1.28
823;-0.492;-1.297;-0.703
823.5;-0.102;-0.688;-0.117
824;0.29;-0.184;0.409
824.5;0.346;0.101;0.649
825;0.133;-0.052;0.218
825.5;-0.269;-0.593;-0.345
826;-0.576;-1.091;-0.838
826.5;-0.873;-1.404;-1.131
827;-1.125;-1.587;-1.306
827.5;-1.462;-1.619;-1.379
828;-1.85;-1.699;-1.34
828.5;-2.04;-1.563;-1.17
829;-1.978;-1.433;-1.058
829.5;-1.784;-1.082;-0.814
830;-1.243;-0.609;-0.41
830.5;-0.59;-0.12;0.086
831;-0.049;0.128;0.325
831.5;0.247;0.123;0.316
832;0.339;0.046;0.274
832.5;0.148;-0.17;0.069
833;-0.175;-0.435;-0.094
833.5;-0.244;-0.367;-0.043
834;-0.117;-0.245;-0.01
834.5;0.284;0.151;0.306
835;0.689;0.592;0.759
835.5;1.003;0.847;1.094
836;1.048;0.946;1.198
836.5;0.989;0.732;0.977
837;0.893;0.609;0.798
837.5;0.811;0.399;0.441
838;0.588;0.14;0.226
838.5;0.288;-0.079;0.083
839;0.095;-0.314;-0.019
839.5;0.024;-0.527;0.032
840;0.017;-0.518;0.135
840.5;0.064;-0.435;0.255
841;-0.183;-0.273;0.202
841.5;-0.186;-0.164;0.078
842;-0.07;0.075;0.097
842.5;0.27;0.429;0.36
843;0.209;0.538;0.37
843.5;0.057;0.426;0.131
844;-0.114;0.241;-0.087
844.5;-0.371;-0.315;-0.671
845;-0.46;-0.759;-1.092
845.5;-0.811;-1.139;-1.354
846;-1.166;-1.386;-1.815
846.5;-1.281;-1.489;-1.963
847;-1.222;-1.481;-1.593
847.5;-0.983;-1.252;-0.981
848;-0.624;-1.042;-0.436
848.5;-0.224;-0.618;0.014
849;0.333;-0.14;0.372
849.5;0.85;0.171;0.468
850;1.288;0.584;0.548
